Cod_Dep;Cod_Mun;Nom_Mun
25;25612;RICAURTE
54;54800;TEORAMA
05;5154;CAUCASIA
05;5490;NECOCLI
68;68318;GUACA
05;5347;HELICONIA
41;41359;ISNOS
15;15814;TOCA
15;15842;UMBITA
68;68575;PUERTO WILCHES
70;70233;EL ROBLE
76;76563;PRADERA
99;99001;PUERTO CARRE—O (CT)
05;5686;SANTA ROSA DE OSOS
08;8606;REPELON
20;20228;CURUMANI
50;50124;CABUYARO
68;68255;EL PLAYON
68;68669;SAN ANDRES
44;44855;URUMITA
41;41306;GIGANTE
05;5837;TURBO
17;17616;RISARALDA
44;44110;EL MOLINO
54;54250;EL TARRA
66;6688;BELEN DE UMBRIA
68;68502;ONZAGA
68;68298;GAMBITA
05;5411;LIBORINA
15;15135;CAMPOHERMOSO
68;68377;LA BELLEZA
05;5190;CISNEROS
15;15897;ZETAQUIRA
44;44001;RIOHACHA (CT)
50;50568;PUERTO GAITAN
25;25843;VILLA DE SAN DIEGO DE UBATE
85;85125;HATO COROZAL
52;52694;SAN PEDRO DE CARTAGO
68;68895;ZAPATOCA
08;8520;PALMAR DE VARELA
25;25572;PUERTO SALGAR
88;88001;SAN ANDRES (CT)
25;25817;TOCANCIPA
70;70418;LOS PALMITOS
13;13248;EL GUAMO
68;68245;EL GUACAMAYO
68;68524;PALMAS DEL SOCORRO
23;23670;SAN ANDRES SOTAVENTO
25;25815;TOCAIMA
15;15317;GUACAMAYAS
05;5647;SAN ANDRES DE CUERQUIA
27;27660;SAN JOSE DEL PALMAR
23;23675;SAN BERNARDO DEL VIENTO
20;20570;PUEBLO BELLO
52;52233;CUMBITARA
05;5467;MONTEBELLO
25;25645;SAN ANTONIO DEL TEQUENDAMA
70;70508;OVEJAS
15;15763;SOTAQUIRA
85;85430;TRINIDAD
25;25269;FACATATIVA
66;66594;QUINCHIA
15;15832;TUNUNGUA
25;25862;VERGARA
50;50226;CUMARAL
68;68211;CONTRATACION
18;1894;BELEN DE LOS ANDAQUIES
15;15464;MONGUA
50;50270;EL DORADO
54;54261;EL ZULIA
76;76250;EL DOVIO
86;86568;PUERTO ASIS
13;13673;SANTA CATALINA
19;19743;SILVIA
13;13468;MOMPOS
13;13244;EL CARMEN DE BOLIVAR
15;15516;PAIPA
18;18610;SAN JOSE DEL FRAGUA
19;19807;TIMB√çO
18;18205;CURILLO
17;17446;MARULANDA
05;5212;COPACABANA
13;13654;SAN JACINTO
13;13655;SAN JACINTO DEL CAUCA
85;85230;OROCUE
23;23162;CERETE
13;13760;SOPLAVIENTO
94;162001;INIRIDA (CT)
52;52786;TAMINANGO
68;68684;SAN JOSE DE MIRANDA
68;68770;SUAITA
76;76828;TRUJILLO
05;5147;CAREPA
05;5579;PUERTO BERRIO
08;8296;GALAPA
68;68444;MATANZA
15;15681;SAN PABLO DE BORBUR
05;5142;CARACOLI
25;25594;QUETAME
81;81794;TAME
50;50245;EL CALVARIO
52;52411;LINARES
41;41006;ACEVEDO
63;63548;PIJAO
63;63130;CALARCA
05;5690;SANTO DOMINGO
70;70221;COVE—AS
73;7355;ARMERO
73;73283;FRESNO
15;15753;SOATA
05;5631;SABANETA
13;13300;HATILLO DE LOBA
05;5234;DABEIBA
13;1352;ARJONA
85;85325;SAN LUIS DE PALENQUE
73;73200;COELLO
81;81736;SARAVENA
73;73585;PURIFICACION
25;25181;CHOACHI
23;23466;MONTELIBANO
73;73411;L√çBANO
17;17513;P√ÅCORA
18;18256;EL PAUJIL
05;5376;LA CEJA
15;15226;CU√çTIVA
86;86865;VALLE DEL GUAMUEZ
05;5665;SAN PEDRO DE URABA
73;73124;CAJAMARCA
15;15480;MUZO
15;15696;SANTA SOFIA
19;19318;GUAPI
44;44279;FONSECA
68;68229;CURITI
05;5585;PUERTO NARE
23;23417;LORICA
25;25785;TABIO
66;6645;APIA
15;15244;EL COCUY
76;76890;YOTOCO
85;85400;TAMARA
15;15757;SOCHA
25;25740;SIBATE
54;54405;LOS PATIOS
66;66456;MISTRATO
05;5318;GUARNE
05;5353;HISPANIA
13;13838;TURBANA
20;2060;BOSCONIA
52;52720;SAPUYES
13;13647;SAN ESTANISLAO
15;15762;SORA
76;76863;VERSALLES
08;8634;SABANAGRANDE
15;15533;PAYA
08;8558;POLONUEVO
05;5440;MARINILLA
25;25779;SUSA
15;15774;SUSACON
41;41244;ELIAS
15;15790;TASCO
52;52227;CUMBAL
13;13688;SANTA ROSA DEL SUR
13;1374;BARRANCO DE LOBA
15;15761;SOMONDOCO
08;8433;MALAMBO
18;18592;PUERTO RICO
50;50590;PUERTO RICO
17;17653;SALAMINA
47;47675;SALAMINA
47;47460;NUEVA GRANADA
50;50313;GRANADA
05;5313;GRANADA
25;25312;GRANADA
86;86755;SAN FRANCISCO
25;25658;SAN FRANCISCO
05;5652;SAN FRANCISCO
68;68320;GUADALUPE
41;41319;GUADALUPE
05;5315;GUADALUPE
76;76275;FLORIDA
52;52381;LA FLORIDA
